favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
15,TweetDeck,"EM ""DITADURA"" SEM PAREDÃO, ATÉ CHICO ALENCAR É VALENTÃO. Mostrem ao povo as marcas da tortura. Vcs estão d bolso cheio do Bolsa-Ditadura.",,False,Thu Apr 01 02:59:50 +0000 2010,31,11402700435
1,Twitter Web Client,"@edelsonpassira Pode me chamar do q quiser, o Governo q vc defende em PE é responsável pelo caos q vive seu Estado. SELVA!",edelsonpassira,False,Thu Jul 08 18:05:29 +0000 2010,14,18052871405
42,Twitter Web Client,SELVA! BRASIL! A LUTA CONTINUA!,,False,Thu Jul 08 17:26:44 +0000 2010,48,18050460400
2,TweetDeck,debate64#estão reclamando de que? Estam votando há 25 anos  e ainda não aprenderam.,,False,Thu Apr 01 04:07:18 +0000 2010,5,11405864533
1,Twitter Web Client,"Os militares assumiram o governo em março de 64 depois d apelos da imprensa, igreja católica e das mulheres, em passeatas pelo Brasil.",,False,Thu Apr 01 01:43:59 +0000 2010,9,11399072031
4,TweetDeck,#debate64 O jorge acabou de me ligar e seu twitter está sobrecarregado.,,False,Thu Apr 01 03:44:57 +0000 2010,3,11404844051
4,Twitter Web Client,"@fabiano_66 Imbecil, preso agora vota!",FABIANOPF66,False,Thu Jul 08 18:01:19 +0000 2010,14,18052617532
12,TweetDeck,#debate64 Entreviste agora 100 pessoas c/ + d 60 anos. 99 dirão q tem saudades dos Governos Militares. Médici era ovacionado no Maracanã.,,False,Thu Apr 01 02:05:41 +0000 2010,12,11400125455
17,TweetDeck,"debate64#perdi a linha, vou mandar vocês todos sabe para onde? Para a BIBLIOTECA !",,False,Thu Apr 01 04:02:22 +0000 2010,19,11405639111
2,Twitter Web Client,"PEC 300: Infelizmente, por ñ ser líder, o regimento ñ me permite falar ao microfone.",,False,Thu May 20 00:14:59 +0000 2010,4,14325917102
9,TweetDeck,#DEBATE64 Vivemos no Império da violência e da Corrupção. Nenhum Militar se enriqueceu no Poder. Hj qualquer ASPONE mora no Lago DF.,,False,Thu Apr 01 02:42:15 +0000 2010,10,11401872138
13,TweetDeck,#debate64 Chico afirma q os jornalistas d hj são menores. Só os são pq a grana da propaganda oficial censura.,,False,Thu Apr 01 02:56:32 +0000 2010,6,11402545539
13,TweetDeck,"#debate64 Compare os 20 anos dosmilitares c/ 16 de Lula/ FHC. S/ nossas obras, o Brasil seria um Paraguai piorado. Nenhum militar ficou rico",,False,Thu Apr 01 03:07:52 +0000 2010,19,11403095729
7,Twitter Web Client,"Votamos favoráveis ao ""Projeto Ficha Limpa"". Quem não deve não teme.",,False,Wed May 12 18:44:54 +0000 2010,17,13865813934
166,TweetDeck,"debate64#sinto muito tê-los torturado, sei que a verdade dói",,False,Thu Apr 01 03:55:43 +0000 2010,321,11405331822
5,TweetDeck,#debate64 No Brasil foram 300. Em Cuba 30 mil. O PSOL de Chico votou contra a moção de apoio e liberdade aos presos politicos cubanos.,,False,Thu Apr 01 02:14:23 +0000 2010,5,11400542675
